 10.905	 21.444	 30.121	 12.175	 20.128	 29.993	 10.464	 20.608	 29.450	  8.914	 20.664	 31.080	 10.171	 18.442	 29.130	 10.848	 19.142	 27.664	 11.901	 21.907	 28.189	  9.988	 18.372	 28.342	  7.849	 20.555	 30.559	  8.441	 22.236	 29.999	  9.604	 18.227	 29.728	  8.379	 21.205	 31.128	  9.062	 21.768	 32.271	  8.326	 21.029	 32.419	  9.469	 19.389	 30.502	  8.642	 18.129	 31.733
 10.179	 22.755	 32.581	 12.029	 19.309	 30.319	  9.682	 19.301	 29.773	 11.667	 21.594	 31.465	  9.454	 21.401	 34.446	 14.242	 19.790	 32.879	 11.580	 22.397	 34.518	 13.180	 20.027	 32.865	  8.630	 17.621	 29.809	 11.381	 22.192	 32.226	 13.941	 22.275	 32.099	 10.077	 21.616	 31.648	 12.417	 20.607	 32.214	 11.450	 20.811	 32.166	 11.828	 21.462	 32.449	 11.685	 20.935	 31.402
  9.964	 21.462	 29.353	 11.007	 19.540	 29.126	 10.814	 23.992	 31.534	 10.413	 19.917	 29.883	 12.153	 25.018	 26.900	 11.748	 25.377	 27.365	 10.376	 22.142	 24.729	  8.336	 23.766	 26.356	 10.328	 23.272	 27.412	 12.805	 25.106	 27.558	  8.417	 20.762	 26.320	 11.146	 20.129	 24.514	 13.958	 22.463	 30.966	 14.334	 23.942	 32.472	 14.713	 21.150	 30.652	 10.039	 20.437	 30.389
 13.020	 20.316	 31.525	 13.402	 18.262	 31.337	 15.550	 20.590	 31.858	 15.693	 20.137	 31.415	 12.247	 17.955	 31.676	 12.783	 23.799	 33.670	 14.395	 21.229	 32.533	 11.157	 21.969	 32.765	 11.027	 21.452	 31.639	 13.572	 21.043	 30.131	 13.919	 17.793	 29.163	 13.198	 20.074	 29.620	 14.141	 19.480	 29.909	 12.676	 20.473	 30.782	 12.137	 18.238	 29.968	 13.516	 19.609	 30.219
  8.530	 19.812	 27.296	  9.039	 22.224	 28.732	 12.846	 23.654	 29.032	  9.462	 20.724	 28.544	  7.912	 19.094	 29.669	  9.958	 21.586	 29.925	  8.905	 21.156	 30.178	  7.546	 18.975	 29.063	  9.539	 21.380	 32.093	 10.993	 21.660	 31.389	 10.641	 19.306	 30.368	  6.635	 23.188	 31.782	  8.746	 21.427	 31.544	  7.135	 21.453	 30.833	  6.039	 20.789	 32.524	  6.811	 22.625	 30.957
 10.596	 21.550	 32.322	 10.516	 20.326	 32.706	 11.942	 20.721	 32.587	  7.410	 18.367	 31.696	  8.939	 18.836	 32.699	 11.416	 23.402	 33.854	 10.082	 21.892	 31.897	  8.067	 18.152	 31.041	 11.641	 17.232	 31.187	 12.444	 17.217	 30.135	 10.840	 19.114	 31.330	 12.024	 18.923	 30.152	  9.084	 20.845	 31.741	  9.004	 19.208	 29.713	 11.097	 20.976	 31.288	 12.260	 25.049	 32.438
  7.778	 20.680	 32.599	 10.016	 21.350	 32.317	  7.963	 23.689	 34.060	  8.438	 18.065	 31.777	 10.433	 23.141	 32.298	  8.479	 21.199	 31.264	 12.799	 22.133	 32.395	 10.750	 24.558	 31.656	  9.839	 23.959	 31.786	 10.480	 20.182	 30.405	 11.426	 21.481	 32.753	 14.166	 21.457	 31.130	  9.700	 22.935	 31.644	  8.786	 18.483	 30.542	  9.667	 23.037	 32.507	 11.053	 24.075	 33.519
  7.282	 21.525	 30.622	 10.760	 22.010	 30.854	  9.486	 23.274	 30.149	  8.951	 22.878	 31.309	  9.015	 22.096	 30.357	  9.725	 21.662	 31.178	  7.740	 22.484	 30.677	 11.123	 22.298	 30.685	 10.665	 24.542	 30.349	 12.180	 24.927	 30.893	 11.832	 26.608	 30.817	 10.515	 24.980	 31.404	  9.569	 26.426	 33.923	 12.536	 26.268	 32.995	 11.111	 24.751	 33.088	 10.635	 26.437	 33.551
 14.540	 22.112	 32.816	 13.047	 19.940	 29.353	 12.998	 18.920	 31.006	 12.155	 25.023	 32.994	 13.329	 21.496	 31.746	 13.532	 23.036	 30.211	 12.437	 20.181	 29.091	 13.378	 20.664	 29.117	 14.194	 17.990	 29.552	 13.290	 17.194	 29.522	 11.954	 16.381	 29.091	 12.560	 18.094	 30.071	  9.260	 17.915	 27.656	  9.442	 20.841	 27.196	 10.607	 17.957	 26.856	  9.710	 20.487	 29.424
  8.090	 19.978	 29.951	  6.809	 20.506	 30.093	  8.470	 22.645	 31.671	  7.358	 20.723	 29.903	 10.216	 19.562	 29.478	 10.688	 18.873	 27.780	 11.330	 20.800	 29.840	 11.033	 21.041	 30.524	  8.282	 19.127	 29.906	 12.935	 20.869	 30.406	 12.758	 19.905	 29.422	  9.739	 17.923	 28.383	  9.672	 17.223	 28.897	  9.263	 20.815	 30.180	 11.590	 17.401	 27.251	 12.123	 21.384	 30.945
